순위,관광지명,주소,분류,
1,신세계백화점대구점,대구 동구 동부로 149-0,백화점,503920
2,동대구역,대구 동구 동대구로 550-0,교통시설,466032
3,더현대대구,대구 중구 달구벌대로 2077-0,백화점,230573
4,대구국제공항,대구 동구 공항로 221-0,교통시설,202732
5,서문시장,대구 중구 큰장로26길 45-0,시장,188396
6,코스트코홀세일대구점,대구 북구 검단로 97-0,대형마트,169706
7,코스트코홀세일대구혁신도시점,대구 동구 첨단로 10-0,대형마트,164752
8,EXCO서관,대구 북구 엑스코로 10-0,전시시설,139717
9,수성못,대구 수성구,자연경관(하천/해양),128279
10,이월드,대구 달서구 두류공원로 200-0,테마공원,117154
11,롯데아울렛이시아폴리스점,대구 동구 팔공로49길 16-0,쇼핑몰,113663
12,호텔인터불고대구점,대구 수성구 팔현길 212-0,호텔,109987
13,홈플러스성서점,대구 달서구 달구벌대로 1467-0,대형마트,105518
14,이마트칠성점,대구 북구 침산로 93-0,대형마트,99733
15,이마트월배점,대구 달서구 진천로 92-0,대형마트,98038
16,옥연지송해공원,대구 달성군,도시공원,96822
17,롯데백화점대구점,대구 북구 태평로 161-0,백화점,95197
18,대구농수산물도매시장,대구 북구 매천로18길 34-0,시장,90162
19,트레이더스 홀세일 클럽비산점,대구 서구 팔달로 54-0,대형마트,88893
20,이마트만촌점,대구 수성구 동원로 136-0,대형마트,88327
21,서대구역,대구 서구 와룡로 527-0,교통시설,83177
22,모다아울렛대구점,대구 달서구 달서대로 411-0,쇼핑몰,74547
23,대구수목원,대구 달서구 화암로 342-0,자연공원,71502
24,호텔인터불고엑스코,대구 북구 유통단지로 80-0,호텔,70518
25,롯데백화점상인점,대구 달서구 월배로 232-0,백화점,68758
26,동촌유원지,대구 동구 효동로2길 72-0,복합관광시설,65420
27,동대구터미널,대구 동구 동부로 149-0,교통시설,63075
28,홈플러스칠곡점,대구 북구 동암로12길 8-0,대형마트,61561
29,호텔라온제나,대구 수성구 범어천로 73-0,호텔,59680
30,현대시티아울렛대구점,대구 동구 동대구로 454-0,쇼핑몰,58873
31,대구삼성라이온즈파크,대구 수성구 야구전설로 1-0,레저스포츠시설,58719
32,칠성시장,대구 북구 칠성시장로 28-0,시장,56794
33,호텔수성,대구 수성구 용학로 106-7,호텔,56788
34,대구신세계백화점파미에타운,대구 동구 효신로 88-0,백화점,55522
35,이마트성서점,대구 달서구 이곡동로 24-0,대형마트,54063
36,대구백화점프라자점,대구 중구 명덕로 333-0,백화점,53859
37,팔공산케이블카,대구 동구 팔공산로185길 51-0,기타관광,53334
38,228기념중앙공원,대구 중구 동성로2길 80-0,도시공원,50796
39,동화사,대구 동구 동화사1길 1-0,종교성지,49184
40,롯데아울렛대구율하점,대구 동구 안심로 80-0,쇼핑몰,48844
41,두류공원,대구 달서구 두류공원로 161-0,도시공원,45878
42,대구미술관,대구 수성구 미술관로 40-0,전시시설,45287
43,서문시장2지구종합상가,대구 중구 큰장로26길 25-0,시장,44996
44,이마트반야월점,대구 동구 안심로 389-2,대형마트,44346
45,EXCO동관,대구 북구 유통단지로 110-0,전시시설,43872
46,대구메리어트호텔&레지던스,대구 동구 동부로26길 6-0,호텔,43484
47,월광수변공원,대구 달서구 월곡로 5-0,도시공원,41019
48,롯데시네마프리미엄만경,대구 중구 국채보상로 547-0,공연시설,40099
49,동아백화점수성점,대구 수성구 지범로 191-0,백화점,40043
